一括変更
                  モジュール名,    デバイス,             現在値,          表示形式,コメント
ｸﾞﾛｰﾊﾞﾙ,DM11500,0,10進数16BIT,jetson out 制御信号
ｸﾞﾛｰﾊﾞﾙ,DM11501,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11502,1500,10進数16BIT,jetson out 設置高さ [mm]
ｸﾞﾛｰﾊﾞﾙ,DM11503,122,10進数16BIT,jetson out 計測速度 基準値 [0.01mm/s]
ｸﾞﾛｰﾊﾞﾙ,DM11504,0,10進数16BIT,jetson out 計測速度 下限値 [0.01mm/s]
ｸﾞﾛｰﾊﾞﾙ,DM11505,522,10進数16BIT,jetson out 計測速度 上限値 [0.01mm/s]
ｸﾞﾛｰﾊﾞﾙ,DM11506,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11507,400,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11508,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11509,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11510,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11511,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11512,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11513,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11514,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11515,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11516,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11517,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11518,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11519,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11520,62890,10進数16BIT,並進速度 rpm算出 [mm/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11521,17140,10進数16BIT,並進速度 rpm算出 [mm/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11522,42326,10進数16BIT,走行角度 rpm算出 [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11523,15481,10進数16BIT,走行角度 rpm算出 [deg] H
ｸﾞﾛｰﾊﾞﾙ,DM11524,0,10進数16BIT,並進速度 画像速度 情報込み [mm/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11525,0,10進数16BIT,並進速度 画像速度 情報込み [mm/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11526,18920,10進数16BIT,走行角度 画像速度 情報込み [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11527,15477,10進数16BIT,走行角度 画像速度 情報込み [deg] H
ｸﾞﾛｰﾊﾞﾙ,DM11528,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11529,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11530,40316,10進数16BIT,車体位置x 誤差 [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11531,50697,10進数16BIT,車体位置x 誤差 [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11532,42482,10進数16BIT,車体位置y 誤差 [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11533,17828,10進数16BIT,車体位置y 誤差 [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11534,40320,10進数16BIT,車体角度 誤差 [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11535,49102,10進数16BIT,車体角度 誤差 [deg] H
ｸﾞﾛｰﾊﾞﾙ,DM11536,852,10進数16BIT,画像速度 演算回数 L
ｸﾞﾛｰﾊﾞﾙ,DM11537,0,10進数16BIT,画像速度 演算回数 H
ｸﾞﾛｰﾊﾞﾙ,DM11538,1689,10進数16BIT,画像速度 角度[deg] 前回値 L
ｸﾞﾛｰﾊﾞﾙ,DM11539,0,10進数16BIT,画像速度 角度[deg] 前回値 H
ｸﾞﾛｰﾊﾞﾙ,DM11540,4,10進数16BIT,設定 要素数
ｸﾞﾛｰﾊﾞﾙ,DM11541,10,10進数16BIT,設定 要素ｻｲｽﾞ
ｸﾞﾛｰﾊﾞﾙ,DM11542,0,10進数16BIT,設定 ﾃﾞﾊﾞｲｽｵﾌｾｯﾄ L
ｸﾞﾛｰﾊﾞﾙ,DM11543,0,10進数16BIT,設定 ﾃﾞﾊﾞｲｽｵﾌｾｯﾄ H
ｸﾞﾛｰﾊﾞﾙ,DM11544,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11545,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11546,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11547,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11548,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11549,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11550,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11551,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11552,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11553,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11554,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11555,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11556,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11557,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11558,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11559,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11560,44564,10進数16BIT,設定1 すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11561,16199,10進数16BIT,設定1 すべり H
ｸﾞﾛｰﾊﾞﾙ,DM11562,0,10進数16BIT,設定1 並進すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11563,16256,10進数16BIT,設定1 並進すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11564,2621,10進数16BIT,設定1 旋回すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11565,16087,10進数16BIT,設定1 旋回すべり L
ｸﾞﾛｰﾊﾞﾙ,DM11566,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11567,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11568,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11569,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11570,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11571,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11572,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11573,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11574,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11575,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11576,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11577,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11578,0,10進数16BIT,
