"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
0,2025/12/17,11:18:42,216,1,1,1.300000E+02,4,672,8.881000E+03,8.480000E+03,1.000000E+01,2.236000E+03,4.016200E+04,3.338800E+04,4.015900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:18:42,217,1,2,1.090000E+02,4,523,9.548000E+03,9.281000E+03,1.000000E+01,2.070000E+03,4.029500E+04,3.338800E+04,4.080900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:18:43,218,1,3,1.190000E+02,4,693,9.448000E+03,8.580000E+03,1.100000E+01,2.070000E+03,3.926000E+04,3.338800E+04,4.289100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:18:43,219,1,4,1.180000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.712000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:18:43,220,1,5,1.230000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.212800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:18:44,221,2,1,1.250000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.624300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:18:44,222,2,2,1.030000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.015800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:18:44,223,2,3,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.404200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:18:45,224,2,4,1.110000E+02,4,553,6.777000E+03,4.240000E+03,1.500000E+01,6.336600E+04,2.350500E+04,3.338800E+04,5.138800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:18:45,225,2,5,1.150000E+02,9,985,1.118400E+04,9.816000E+03,1.100000E+01,6.279900E+04,2.307100E+04,3.338800E+04,5.481900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
