"検出 左"
"DATA No","DATE","TIME","検出情報 左 撮像回数","検出情報 左 株番号","検出情報 左 撮像数","検出情報 左 処理時間[s]","検出情報 左 判定値","検出情報 左 スコア","検出情報 左 サイズＸ[mm]","検出情報 左 サイズＹ[mm]","検出情報 左 縦横比","検出情報 左 中心Ｘ[mm]","検出情報 左 中心Ｙ[mm]","検出情報 左 分解能","検出情報 左 積算位置[mm]","検出情報 左 車体昇降[mm]","検出情報 左 外葉押え[mm]","検出情報 左 スコア閾値","検出情報 左 サイズ閾値(小)[mm]","検出情報 左 サイズ閾値(大)[mm]","検出情報 左 縦横比閾値"
0,2025/12/17,11:31:55,570,1,1,1.280000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.553300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,11:31:55,571,1,2,1.360000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.680000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,11:31:56,572,1,3,1.310000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.524000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,11:31:56,573,1,4,1.390000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.748000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,11:31:56,574,1,5,1.220000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.202100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,11:31:57,575,2,1,1.210000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.611200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,11:31:57,576,2,2,1.200000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.995000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,11:31:57,577,2,3,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.380500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,11:31:58,578,2,4,1.030000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.765700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,11:31:58,579,2,5,1.060000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.153200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
10,2025/12/17,11:31:58,580,2,6,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.538500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
11,2025/12/17,11:31:59,581,2,7,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.923600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
12,2025/12/17,11:31:59,582,2,8,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.308800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
13,2025/12/17,11:31:59,583,3,1,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.693000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:32:00,584,3,2,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.078200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:32:00,585,3,3,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.465500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:32:00,586,3,4,1.010000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.849500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:32:00,587,3,5,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.236000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:32:01,588,3,6,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.510000E+02,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:32:01,589,3,7,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.528000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:32:02,590,4,1,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.136800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:32:02,591,4,2,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.521900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:32:02,592,4,3,1.130000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.907300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:32:03,593,4,4,1.020000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.292500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:32:03,594,4,5,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.677600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:32:03,595,4,6,1.120000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.067800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:32:04,596,4,7,1.150000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.456500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:32:04,597,5,1,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.138000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
28,2025/12/17,11:32:05,598,5,2,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.525700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
29,2025/12/17,11:32:05,599,5,3,1.170000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.912000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
30,2025/12/17,11:32:05,600,5,4,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.299500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
31,2025/12/17,11:32:05,601,5,5,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.684800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
32,2025/12/17,11:32:06,602,5,6,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.074500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
33,2025/12/17,11:32:06,603,5,7,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.463300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
34,2025/12/17,11:32:07,604,6,1,1.050000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.819000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
35,2025/12/17,11:32:07,605,6,2,1.140000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,9.683000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
36,2025/12/17,11:32:07,606,6,3,1.160000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.357200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
37,2025/12/17,11:32:08,607,6,4,1.040000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.741300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
38,2025/12/17,11:32:08,608,6,5,1.110000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.125300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
