"採用 右"
"DATA No","DATE","TIME","採用情報 右 撮像回数","採用情報 右 株番号","採用情報 右 撮像数","採用情報 右 処理時間[s]","採用情報 右 判定値","採用情報 右 スコア","採用情報 右 サイズＸ[mm]","採用情報 右 サイズＹ[mm]","採用情報 右 縦横比","採用情報 右 中心Ｘ[mm]","採用情報 右 中心Ｙ[mm]","採用情報 右 分解能","採用情報 右 積算位置[mm]","採用情報 右 車体昇降[mm]","採用情報 右 外葉押え[mm]","採用情報 右 スコア閾値","採用情報 右 サイズ閾値(小)[mm]","採用情報 右 サイズ閾値(大)[mm]","採用情報 右 縦横比閾値"
0,2025/12/17,13:31:51,117,2,5,1.280000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.227300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
1,2025/12/17,13:31:53,123,3,6,1.030000E+02,6,804,5.342000E+03,5.308000E+03,1.000000E+01,5.665500E+04,4.914300E+04,3.338800E+04,1.890600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
2,2025/12/17,13:31:56,126,4,1,1.080000E+02,4,501,8.781000E+03,6.443000E+03,1.300000E+01,5.678900E+04,3.762400E+04,3.338800E+04,1.900400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
3,2025/12/17,13:31:58,135,5,3,1.140000E+02,1,988,1.265400E+04,1.004900E+04,1.200000E+01,5.822500E+04,6.513600E+04,3.338800E+04,1.930900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
4,2025/12/17,13:32:01,142,6,7,1.100000E+02,9,974,1.489100E+04,1.625900E+04,1.000000E+01,6.209800E+04,1.896400E+04,3.338800E+04,1.811100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
5,2025/12/17,13:32:03,143,7,1,1.030000E+02,1,940,1.178500E+04,1.175200E+04,1.000000E+01,6.289900E+04,1.298700E+04,3.338800E+04,1.897600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
6,2025/12/17,13:32:06,148,8,5,1.200000E+02,9,819,1.008300E+04,1.155200E+04,1.100000E+01,1.268000E+03,1.666000E+04,3.338800E+04,1.992000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
7,2025/12/17,13:32:08,152,9,2,1.110000E+02,1,983,1.208600E+04,1.325500E+04,1.000000E+01,2.136000E+03,6.256500E+04,3.338800E+04,1.645000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
8,2025/12/17,13:32:11,159,10,7,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.000000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.338500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
9,2025/12/17,13:32:13,166,11,7,1.110000E+02,4,499,1.766200E+04,1.769500E+04,1.000000E+01,6.153000E+04,5.175000E+03,3.338800E+04,2.376700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
