FILE_KBN:OperationTrace
[FileInfo]
Date,'2025/12/17 15:04:29'
SetupVer,'213.001'
DBVer,'059.001'
[AxisInfo]
'0x1','','05300005','GADSA05AH24','GAM1AA200H0','01.0.12','0002-0003-0103-0002-0000-0000-0000-0000','0','','0',''
[TraceConditionInfo]
TraceMode,'0x03','512ポイント'
TriggerMode,'0x00','AUTO'
ContinuousAutoMode,'1'
SamplingCycleTime,'40000','5000'
Analog-CH1,'0x1','0x00','VMON:速度ﾓﾆﾀ','','',''
Analog-CH2,'0x1','0x02','TMON:ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH3,'0x1','0x04','PMON:位置偏差ﾓﾆﾀ','','',''
Analog-CH5,'0x1','0x0D','TRMS:実効ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH6,'0x1','0x0C','RegR:回生抵抗動作率ﾓﾆﾀ','','',''
Digital-CH1,'0x1','0x13','TLIM:ﾄﾙｸ(推力)制限中','',''
Digital-CH2,'0x1','0x15','SACT:ﾓｰﾀ励磁中','',''
Digital-CH3,'0x1','0x10','INP:位置決め完了中','',''
Digital-CH4,'0x1','0x1C','ALM:ｱﾗｰﾑ状態中','',''
[WindowSettings]
WindowWidth,'900'
WindowHeight,'600'
ScaleWidth,'88'
GraphLocationX,'0'
GraphLocationY,'821.500000000025'
TimeRange,'2000'
ScaleCH,'1'
tCursorOn0,'1'
t1Point0,'0'
t2Point0,'0'
t1Color0,'FF00FF00'
t2Color0,'FFFFFF00'
vCursorOn0,'1'
v1Point0,'1104'
v2Point0,'1104'
v1Color0,'FFFF00FF'
v2Color0,'FFFFA500'
tCursorOn1,'1'
t1Point1,'0'
t2Point1,'0'
t1Color1,'FF00FF00'
t2Color1,'FFFFFF00'
vCursorOn1,'1'
v1Point1,'0'
v2Point1,'0'
v1Color1,'FFFF00FF'
v2Color1,'FFFFA500'
OverlapWaveform,'False'
ActiveTrace,'0'
Analog-CH1-RangeMode,'0'
Analog-CH1-Range,'200'
Analog-CH1-Offset,'106'
Analog-CH1-Visible,'1'
Analog-CH2-RangeMode,'0'
Analog-CH2-Range,'20'
Analog-CH2-Offset,'26.2'
Analog-CH2-Visible,'1'
Analog-CH3-RangeMode,'0'
Analog-CH3-Range,'5000000'
Analog-CH3-Offset,'-1389585'
Analog-CH3-Visible,'1'
Analog-CH5-RangeMode,'0'
Analog-CH5-Range,'1'
Analog-CH5-Offset,'0'
Analog-CH5-Visible,'1'
Analog-CH6-RangeMode,'0'
Analog-CH6-Range,'1'
Analog-CH6-Offset,'0'
Analog-CH6-Visible,'1'
Digital-CH1-Visible,'1'
Digital-CH2-Visible,'1'
Digital-CH3-Visible,'1'
Digital-CH4-Visible,'1'
[MeasureInfo]
'No-00','1','2025/12/17 15:03:26'
''
'No-01','0','2025/12/17 14:40:20'
''
'No-02','0','2025/12/17 14:39:55'
''
[BufferPointInfo]
'','No-00','','','','','','','','','No-01','','','','','','','','','No-02','','','','','','','',''
Point,'A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4'
'0','970','72.6','4538472','','31','0','0','1','0','0','762','15.2','1532352','','27','0','0','1','0','0','322','-33.2','6326577','','33','0','0','1','0','0'
'1','975','64.9','4549776','','31','0','0','1','0','0','773','11.1','-365032','','27','0','0','1','0','0','','','','','','','','','',''
'2','975','55.6','4536628','','32','0','0','1','0','0','-774','-15.2','4556828','','27','0','0','1','0','0','','','','','','','','','',''
'3','972','56.6','4517300','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'4','978','60.8','4536401','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'5','970','74.7','4531234','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'6','977','63.3','4552202','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'7','973','57.8','4541522','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'8','975','60.1','4539397','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'9','970','67.8','4536065','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'10','974','55.9','4542606','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'11','971','52.7','4538014','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'12','973','53.2','4544007','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'13','973','50.4','4537524','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'14','975','47.4','4537983','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'15','5','51.4','545138','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'16','0','43.7','-498304','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'17','0','36.4','-497477','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'18','0','29.2','-494872','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'19','0','21.8','-487500','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'20','0','14.9','-472772','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'21','0','8.2','1939','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'22','0','13.5','-22','','32','0','0','1','1','0','','','','','','','','','','','','','','','','','','','',''
'23','169','47.5','823037','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'24','976','48.2','4514240','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'25','977','62.1','4546298','','32','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'26','973','56.1','4545302','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'27','975','61.1','4549958','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'28','970','54.7','4528912','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'29','975','58.4','4521274','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'30','974','59.1','4531665','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'31','1','58.2','308927','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'32','0','58.9','38920','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'33','0','59.3','16756','','33','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
