FILE_KBN:OperationTrace
[FileInfo]
Date,'2025/12/17 15:04:20'
SetupVer,'213.001'
DBVer,'059.001'
[AxisInfo]
'0x2','','05300005','GADSA05AH24','GAM1AA200H0','01.0.12','0002-0003-0103-0002-0000-0000-0000-0000','0','','0',''
[TraceConditionInfo]
TraceMode,'0x03','512ポイント'
TriggerMode,'0x00','AUTO'
ContinuousAutoMode,'1'
SamplingCycleTime,'40000','5000'
Analog-CH1,'0x2','0x08','PCMDF1:位置指令ﾊﾟﾙｽ周波数ﾓﾆﾀ1','','',''
Analog-CH2,'0x2','0x02','TMON:ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH3,'0x2','0x04','PMON:位置偏差ﾓﾆﾀ','','',''
Analog-CH5,'0x2','0x0D','TRMS:実効ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH6,'0x2','0x0C','RegR:回生抵抗動作率ﾓﾆﾀ','','',''
Digital-CH1,'0x2','0x13','TLIM:ﾄﾙｸ(推力)制限中','',''
Digital-CH2,'0x2','0x15','SACT:ﾓｰﾀ励磁中','',''
Digital-CH3,'0x2','0x10','INP:位置決め完了中','',''
Digital-CH4,'0x2','0x1C','ALM:ｱﾗｰﾑ状態中','',''
[WindowSettings]
WindowWidth,'900'
WindowHeight,'600'
ScaleWidth,'88'
GraphLocationX,'0'
GraphLocationY,'385494852'
TimeRange,'500000'
ScaleCH,'1'
tCursorOn0,'1'
t1Point0,'0'
t2Point0,'0'
t1Color0,'FF00FF00'
t2Color0,'FFFFFF00'
vCursorOn0,'1'
v1Point0,'385495140'
v2Point0,'385495140'
v1Color0,'FFFF00FF'
v2Color0,'FFFFA500'
tCursorOn1,'1'
t1Point1,'0'
t2Point1,'0'
t1Color1,'FF00FF00'
t2Color1,'FFFFFF00'
vCursorOn1,'1'
v1Point1,'0'
v2Point1,'0'
v1Color1,'FFFF00FF'
v2Color1,'FFFFA500'
OverlapWaveform,'False'
ActiveTrace,'0'
Analog-CH1-RangeMode,'0'
Analog-CH1-Range,'1'
Analog-CH1-Offset,'0'
Analog-CH1-Visible,'1'
Analog-CH2-RangeMode,'0'
Analog-CH2-Range,'1'
Analog-CH2-Offset,'0'
Analog-CH2-Visible,'1'
Analog-CH3-RangeMode,'0'
Analog-CH3-Range,'1'
Analog-CH3-Offset,'0'
Analog-CH3-Visible,'1'
Analog-CH5-RangeMode,'0'
Analog-CH5-Range,'1'
Analog-CH5-Offset,'0'
Analog-CH5-Visible,'1'
Analog-CH6-RangeMode,'0'
Analog-CH6-Range,'1'
Analog-CH6-Offset,'0'
Analog-CH6-Visible,'1'
Digital-CH1-Visible,'1'
Digital-CH2-Visible,'1'
Digital-CH3-Visible,'1'
Digital-CH4-Visible,'1'
[MeasureInfo]
'No-00','1','2025/12/17 15:03:32'
''
'No-01','0','2025/12/17 14:40:18'
''
[BufferPointInfo]
'','No-00','','','','','','','','','No-01','','','','','','','',''
Point,'A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4'
'0','-136200','-53.5','-4531601','','36','0','0','1','0','0','-163439','-111.7','-1482926','','38','0','0','1','0','0'
'1','-136200','-50.5','-4524672','','36','0','0','1','0','0','163439','30.7','16760652','','31','0','0','1','0','0'
'2','-136200','-53.9','-4536563','','36','0','0','1','0','0','','','','','','','','','',''
'3','-136200','-47','-4527943','','37','0','0','1','0','0','','','','','','','','','',''
'4','-136200','-47.4','-4545230','','37','0','0','1','0','0','','','','','','','','','',''
'5','-136200','-37.8','-4531463','','37','0','0','1','0','0','','','','','','','','','',''
'6','-136200','-46.2','-4533771','','37','0','0','1','0','0','','','','','','','','','',''
'7','-136200','-44.6','-4541955','','37','0','0','1','0','0','','','','','','','','','',''
'8','-136200','-51.5','-4558931','','37','0','0','1','0','0','','','','','','','','','',''
'9','-136200','-48.5','-4543522','','37','0','0','1','0','0','','','','','','','','','',''
'10','-136200','-52','-4533703','','37','0','0','1','0','0','','','','','','','','','',''
'11','-136200','-52.7','-4536275','','37','0','0','1','0','0','','','','','','','','','',''
'12','-136200','-57.5','-4532630','','37','0','0','1','0','0','','','','','','','','','',''
'13','-136200','-58','-4549171','','37','0','0','1','0','0','','','','','','','','','',''
'14','0','-54.5','-221439','','37','0','0','1','0','0','','','','','','','','','',''
'15','0','-50.3','232528','','37','0','0','1','0','0','','','','','','','','','',''
'16','0','-46.9','232689','','37','0','0','1','0','0','','','','','','','','','',''
'17','0','-43.5','232165','','37','0','0','1','0','0','','','','','','','','','',''
'18','0','-40.1','231427','','37','0','0','1','0','0','','','','','','','','','',''
'19','0','-36.7','229675','','37','0','0','1','0','0','','','','','','','','','',''
'20','0','-19.5','-2008','','37','0','0','1','0','0','','','','','','','','','',''
'21','0','-23.3','32','','37','0','0','1','1','0','','','','','','','','','',''
'22','-136200','-71.8','-4268591','','37','0','0','1','0','0','','','','','','','','','',''
'23','-136200','-48.9','-4537057','','37','0','0','1','0','0','','','','','','','','','',''
'24','-136200','-48.8','-4535524','','37','0','0','1','0','0','','','','','','','','','',''
'25','-136200','-51.3','-4540429','','37','0','0','1','0','0','','','','','','','','','',''
'26','-136200','-41.9','-4540406','','37','0','0','1','0','0','','','','','','','','','',''
'27','-136200','-43.6','-4556685','','37','0','0','1','0','0','','','','','','','','','',''
'28','-136200','-42.1','-4541253','','37','0','0','1','0','0','','','','','','','','','',''
'29','0','-33.4','-3202620','','37','0','0','1','0','0','','','','','','','','','',''
'30','0','-24.6','477547','','37','0','0','1','0','0','','','','','','','','','',''
'31','0','-17.7','475685','','37','0','0','1','0','0','','','','','','','','','',''
'32','0','-10.6','469702','','37','0','0','1','0','0','','','','','','','','','',''
'33','0','-3.8','455342','','37','0','0','1','0','0','','','','','','','','','',''
'34','0','1.2','308700','','37','0','0','1','0','0','','','','','','','','','',''
'35','0','2','-4495','','37','0','0','1','0','0','','','','','','','','','',''
'36','0','1.4','-41052','','36','0','0','1','0','0','','','','','','','','','',''
'37','0','-15.1','934','','36','0','0','1','0','0','','','','','','','','','',''
'38','0','-12.8','-13','','36','0','0','1','1','0','','','','','','','','','',''
'39','-136200','-46.7','-4546337','','36','0','0','1','0','0','','','','','','','','','',''
'40','-136200','-39.1','-4543108','','36','0','0','1','0','0','','','','','','','','','',''
'41','-136200','-41.6','-4523137','','36','0','0','1','0','0','','','','','','','','','',''
'42','-136200','-47.8','-4511560','','36','0','0','1','0','0','','','','','','','','','',''
'43','-136200','-58.3','-4569591','','36','0','0','1','0','0','','','','','','','','','',''
'44','-136200','-56.1','-4566877','','36','0','0','1','0','0','','','','','','','','','',''
'45','-136200','-49.7','-4529231','','36','0','0','1','0','0','','','','','','','','','',''
'46','-136200','-52.3','-4521527','','36','0','0','1','0','0','','','','','','','','','',''
'47','0','-45','139573','','36','0','0','1','0','0','','','','','','','','','',''
'48','0','-42.5','172904','','37','0','0','1','0','0','','','','','','','','','',''
'49','0','-40','173075','','36','0','0','1','0','0','','','','','','','','','',''
'50','0','-37.5','172702','','36','0','0','1','0','0','','','','','','','','','',''
'51','0','-35','172258','','36','0','0','1','0','0','','','','','','','','','',''
'52','0','-27','145','','36','0','0','1','0','0','','','','','','','','','',''
'53','0','-26.2','37','','36','0','0','1','1','0','','','','','','','','','',''
'54','-136200','-53.6','-4522999','','36','0','0','1','0','0','','','','','','','','','',''
'55','-136200','-54.2','-4544536','','36','0','0','1','0','0','','','','','','','','','',''
'56','-136200','-57.6','-4537288','','36','0','0','1','0','0','','','','','','','','','',''
'57','-136200','-58.3','-4551514','','37','0','0','1','0','0','','','','','','','','','',''
'58','-136200','-46.4','-4520577','','37','0','0','1','0','0','','','','','','','','','',''
'59','-136200','-60.3','-4544059','','37','0','0','1','0','0','','','','','','','','','',''
'60','-136200','-58.1','-4537354','','37','0','0','1','0','0','','','','','','','','','',''
'61','-136200','-57.3','-4553374','','37','0','0','1','0','0','','','','','','','','','',''
'62','-136200','-48.4','-4522893','','37','0','0','1','0','0','','','','','','','','','',''
'63','-136200','-64.5','-4536497','','37','0','0','1','0','0','','','','','','','','','',''
'64','-136200','-56','-4538838','','37','0','0','1','0','0','','','','','','','','','',''
'65','-136200','-52.1','-4545085','','37','0','0','1','0','0','','','','','','','','','',''
'66','-136200','-55','-4540953','','37','0','0','1','0','0','','','','','','','','','',''
'67','-136200','-65.4','-4545970','','37','0','0','1','0','0','','','','','','','','','',''
'68','-136200','-49.9','-4544047','','37','0','0','1','0','0','','','','','','','','','',''
'69','0','-17.4','151791','','37','0','0','1','0','0','','','','','','','','','',''
'70','0','-14.9','164435','','37','0','0','1','0','0','','','','','','','','','',''
'71','0','-12.5','164027','','37','0','0','1','0','0','','','','','','','','','',''
'72','0','-10.1','163291','','37','0','0','1','0','0','','','','','','','','','',''
'73','0','-7.7','162172','','37','0','0','1','0','0','','','','','','','','','',''
'74','0','-5.3','160067','','37','0','0','1','0','0','','','','','','','','','',''
'75','0','-3','156696','','37','0','0','1','0','0','','','','','','','','','',''
'76','0','-0.7','150253','','37','0','0','1','0','0','','','','','','','','','',''
'77','0','1.3','142050','','37','0','0','1','0','0','','','','','','','','','',''
'78','0','3.1','124593','','36','0','0','1','0','0','','','','','','','','','',''
'79','0','4.2','63543','','36','0','0','1','0','0','','','','','','','','','',''
'80','-163440','-93.6','-8873006','','36','0','0','1','0','0','','','','','','','','','',''
'81','-163439','-129.4','-2732910','','37','0','0','1','0','0','','','','','','','','','',''
'82','-163443','-107.3','2042588','','38','0','0','1','0','0','','','','','','','','','',''
'83','-163439','-93.6','1735095','','37','0','0','1','0','0','','','','','','','','','',''
'84','108961','14.4','10968658','','37','0','0','1','0','0','','','','','','','','','',''
'85','108961','1.3','461565','','37','0','0','1','0','0','','','','','','','','','',''
'86','-2741','0.5','441264','','37','0','0','1','0','0','','','','','','','','','',''
'87','-163439','-111.6','-663188','','38','0','0','1','0','0','','','','','','','','','',''
'88','-163439','-119.6','-1378768','','38','0','0','1','0','0','','','','','','','','','',''
'89','-163439','-111.1','-995239','','41','0','0','1','0','0','','','','','','','','','',''
'90','-163439','-107.4','-1879909','','40','0','0','1','0','0','','','','','','','','','',''
'91','-163443','-110.4','-1403304','','39','0','0','1','0','0','','','','','','','','','',''
'92','-163440','-110.3','842524','','39','0','0','1','0','0','','','','','','','','','',''
'93','108961','11.1','5059881','','39','0','0','1','0','0','','','','','','','','','',''
'94','108961','1.2','-361056','','39','0','0','1','0','0','','','','','','','','','',''
'95','108961','5.4','82800','','39','0','0','1','0','0','','','','','','','','','',''
'96','108956','0.9','646019','','39','0','0','1','0','0','','','','','','','','','',''
'97','108960','12.9','1824141','','39','0','0','1','0','0','','','','','','','','','',''
'98','-163439','-106.4','-13789986','','39','0','0','1','0','0','','','','','','','','','',''
'99','-163440','-112.4','-754479','','39','0','0','1','0','0','','','','','','','','','',''
'100','-163440','-91.3','823591','','39','0','0','1','0','0','','','','','','','','','',''
'101','-163439','-118.8','-2525104','','40','0','0','1','0','0','','','','','','','','','',''
'102','108961','7','1377397','','40','0','0','1','0','0','','','','','','','','','',''
'103','108961','17.9','198470','','40','0','0','1','0','0','','','','','','','','','',''
'104','-136200','-85.3','-10854577','','40','0','0','1','0','0','','','','','','','','','',''
'105','-163439','-95','-1256965','','40','0','0','1','0','0','','','','','','','','','',''
'106','-163444','-113.3','240342','','41','0','0','1','0','0','','','','','','','','','',''
'107','-163439','-98.8','867402','','42','0','0','1','0','0','','','','','','','','','',''
'108','108960','20.3','5928064','','41','0','0','1','0','0','','','','','','','','','',''
'109','108960','-2.3','-624925','','41','0','0','1','0','0','','','','','','','','','',''
'110','-163439','-103.5','-2731199','','41','0','0','1','0','0','','','','','','','','','',''
'111','-163443','-87.9','3792677','','42','0','0','1','0','0','','','','','','','','','',''
'112','108960','17.1','2454040','','41','0','0','1','0','0','','','','','','','','','',''
'113','108960','16','-923771','','41','0','0','1','0','0','','','','','','','','','',''
'114','0','-1.1','-1029584','','41','0','0','1','0','0','','','','','','','','','',''
'115','-163439','-118','-3601054','','42','0','0','1','0','0','','','','','','','','','',''
'116','-163439','-92.8','-781541','','41','0','0','1','0','0','','','','','','','','','',''
'117','-136200','-123','-3144358','','42','0','0','1','0','0','','','','','','','','','',''
'118','-124540','-31.6','9027551','','42','0','0','1','0','0','','','','','','','','','',''
'119','0','-76.1','-2262528','','42','0','0','1','0','0','','','','','','','','','',''
'120','0','-77','222012','','42','0','0','1','0','0','','','','','','','','','',''
'121','0','-72.9','279884','','42','0','0','1','0','0','','','','','','','','','',''
'122','0','-68.8','279452','','42','0','0','1','0','0','','','','','','','','','',''
'123','0','-64.7','278914','','42','0','0','1','0','0','','','','','','','','','',''
'124','0','-60.6','278150','','42','0','0','1','0','0','','','','','','','','','',''
'125','0','-56.5','276383','','42','0','0','1','0','0','','','','','','','','','',''
'126','0','-52.4','273725','','42','0','0','1','0','0','','','','','','','','','',''
'127','0','-48.4','270034','','42','0','0','1','0','0','','','','','','','','','',''
'128','0','-44.5','265316','','42','0','0','1','0','0','','','','','','','','','',''
'129','0','-40.7','259100','','42','0','0','1','0','0','','','','','','','','','',''
'130','0','-36.9','247774','','42','0','0','1','0','0','','','','','','','','','',''
'131','0','-33.5','220943','','42','0','0','1','0','0','','','','','','','','','',''
'132','0','-31.3','136140','','42','0','0','1','0','0','','','','','','','','','',''
'133','0','-30.8','9881','','42','0','0','1','0','0','','','','','','','','','',''
'134','0','-30.9','-10615','','42','0','0','1','0','0','','','','','','','','','',''
'135','0','-31.2','-17835','','42','0','0','1','0','0','','','','','','','','','',''
'136','0','-31.4','-20770','','42','0','0','1','0','0','','','','','','','','','',''
'137','0','-31.8','-21940','','42','0','0','1','0','0','','','','','','','','','',''
'138','0','-32.1','-22267','','42','0','0','1','0','0','','','','','','','','','',''
'139','0','-32.5','-22300','','42','0','0','1','0','0','','','','','','','','','',''
'140','0','-32.9','-22281','','42','0','0','1','0','0','','','','','','','','','',''
'141','0','-33.2','-22246','','42','0','0','1','0','0','','','','','','','','','',''
'142','0','-33.6','-22210','','42','0','0','1','0','0','','','','','','','','','',''
'143','0','-34','-22165','','42','0','0','1','0','0','','','','','','','','','',''
'144','0','-34.3','-22129','','42','0','0','1','0','0','','','','','','','','','',''
'145','0','-34.7','-22090','','42','0','0','1','0','0','','','','','','','','','',''
'146','0','-35.1','-22044','','42','0','0','1','0','0','','','','','','','','','',''
'147','0','-35.4','-21995','','42','0','0','1','0','0','','','','','','','','','',''
'148','0','-35.8','-21943','','41','0','0','1','0','0','','','','','','','','','',''
'149','0','-36.2','-21887','','41','0','0','1','0','0','','','','','','','','','',''
'150','0','-36.6','-21833','','41','0','0','1','0','0','','','','','','','','','',''
'151','0','-36.9','-21769','','41','0','0','1','0','0','','','','','','','','','',''
'152','0','-37.3','-21703','','41','0','0','1','0','0','','','','','','','','','',''
'153','0','-46.8','1541','','41','0','0','1','0','0','','','','','','','','','',''
'154','-136200','-103.8','-2773966','','41','0','0','1','0','0','','','','','','','','','',''
'155','-136200','-80.2','-4546627','','41','0','0','1','0','0','','','','','','','','','',''
