"採用_1条目　判定_1:収穫 2:未検出 3:重複 4:ｽｺｱ 5:縦横比 6_7:ｻｲｽﾞ 8:座標X 9:座標Y"
"DATA No","DATE","TIME","撮像回数","株番号","撮像数","処理時間[s]","判定値","スコア","サイズＸ[mm]","サイズＹ[mm]","縦横比","中心Ｘ[mm]","中心Ｙ[mm]","分解能","積算位置[mm]","車体昇降[mm]","外葉押え[mm]","スコア閾値","縦横比閾値","サイズ閾値(小)[mm]","サイズ閾値(大)[mm]"
0,2025/11/11,10:23:15,238,1,5,"0.086",4,402,"169.30","72.48","2.3","-51.75","+111.84",33388,"222.06","0.00","125.00",800,"1.2","105.00","300.00"
1,2025/11/11,10:23:17,240,2,2,"0.086",5,870,"133.58","73.15","1.8","-53.75","+5.67",33388,"225.38","0.00","125.00",800,"1.2","105.00","300.00"
2,2025/11/11,10:23:20,252,3,7,"0.086",9,958,"107.54","100.86","1.0","-35.39","+241.72",33388,"939.14","0.00","125.00",800,"1.2","105.00","300.00"
3,2025/11/11,10:23:22,254,4,1,"0.087",1,993,"116.89","102.20","1.1","-36.39","+165.27",33388,"942.67","0.00","125.00",800,"1.2","105.00","300.00"
4,2025/11/11,10:23:25,256,5,2,"0.086",6,965,"76.82","79.49","1.0","-80.13","+194.98",33388,"1298.06","0.00","125.00",800,"1.2","105.00","300.00"
5,2025/11/11,10:23:27,264,6,3,"0.088",1,938,"99.86","124.57","1.2","-35.05","+199.32",33388,"1660.81","0.00","125.00",800,"1.2","105.00","300.00"
6,2025/11/11,10:23:30,267,7,3,"0.086",1,968,"120.56","128.24","1.0","-38.39","-94.82",33388,"1643.57","0.00","125.00",800,"1.2","105.00","300.00"
7,2025/11/11,10:23:32,273,8,6,"0.087",6,977,"61.46","74.15","1.2","-64.43","-156.25",33388,"2002.03","0.00","125.00",800,"1.2","105.00","300.00"
8,2025/11/11,10:23:35,282,9,7,"0.086",6,996,"86.17","96.85","1.1","-16.36","+202.99",33388,"2715.45","0.00","125.00",800,"1.2","105.00","300.00"
9,2025/11/11,10:23:37,288,10,6,"0.108",6,973,"58.12","62.46","1.0","-34.72","-65.44",33388,"2715.55","0.00","125.00",800,"1.2","105.00","300.00"
10,2025/11/11,10:23:40,291,11,2,"0.104",1,997,"121.56","102.86","1.1","-28.71","+159.26",33388,"3081.61","0.00","125.00",800,"1.2","105.00","300.00"
11,2025/11/11,10:23:42,292,12,1,"0.086",1,961,"95.52","110.21","1.1","-35.05","-112.85",33388,"3057.96","0.00","125.00",800,"1.2","105.00","300.00"
12,2025/11/11,10:23:45,298,13,6,"0.086",1,993,"108.20","128.57","1.1","-20.36","+159.26",33388,"3828.79","0.00","125.00",800,"1.2","105.00","300.00"
13,2025/11/11,10:23:47,306,14,8,"0.086",5,953,"154.95","90.18","1.7","-27.71","-200.99",33388,"3844.24","0.00","125.00",800,"1.2","105.00","300.00"
14,2025/11/11,10:23:50,312,15,6,"0.086",6,971,"93.51","74.48","1.2","-19.03","+133.88",33388,"4411.78","0.00","125.00",800,"1.2","105.00","300.00"
15,2025/11/11,10:23:52,318,16,5,"0.085",9,963,"116.89","100.86","1.1","+13.35","+266.10",33388,"4811.94","0.00","125.00",800,"1.2","105.00","300.00"
16,2025/11/11,10:23:55,321,17,1,"0.086",1,990,"96.85","106.87","1.1","+13.35","+121.53",33388,"4813.79","0.00","125.00",800,"1.2","105.00","300.00"
17,2025/11/11,10:23:57,323,18,2,"0.086",3,921,"78.82","86.84","1.1","+20.03","-192.31",33388,"4814.84","0.00","125.00",800,"1.2","105.00","300.00"
18,2025/11/11,10:24:00,336,19,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5521.22","0.00","125.00",800,"1.2","105.00","300.00"
19,2025/11/11,10:24:02,343,20,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"5822.29","0.00","125.00",800,"1.2","105.00","300.00"
20,2025/11/11,10:24:05,350,21,7,"0.101",6,999,"63.47","74.82","1.1","+17.36","+125.53",33388,"6252.02","0.00","125.00",800,"1.2","105.00","300.00"
21,2025/11/11,10:24:07,357,22,7,"0.086",6,994,"89.17","93.18","1.0","-11.68","+150.91",33388,"6584.09","0.00","125.00",800,"1.2","105.00","300.00"
22,2025/11/11,10:24:10,362,23,5,"0.086",1,999,"106.54","87.17","1.2","-8.34","-47.74",33388,"6586.89","0.00","125.00",800,"1.2","105.00","300.00"
23,2025/11/11,10:24:12,364,24,2,"0.086",3,987,"136.92","65.13","2.1","-11.01","-215.68",33388,"6594.47","0.00","125.00",800,"1.2","105.00","300.00"
24,2025/11/11,10:24:15,377,25,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"7323.25","0.00","125.00",800,"1.2","105.00","300.00"
25,2025/11/11,10:24:17,384,26,7,"0.105",6,993,"101.19","102.53","1.0","+6.34","+46.74",33388,"7673.25","0.00","125.00",800,"1.2","105.00","300.00"
26,2025/11/11,10:24:20,387,27,3,"0.085",1,993,"109.54","97.19","1.1","+4.00","-100.16",33388,"7675.55","0.00","125.00",800,"1.2","105.00","300.00"
27,2025/11/11,10:24:22,395,28,8,"0.086",6,997,"95.85","88.84","1.0","+78.46","+135.88",33388,"8383.28","0.00","125.00",800,"1.2","105.00","300.00"
28,2025/11/11,10:24:25,397,29,2,"0.086",6,992,"86.17","103.53","1.2","+75.12","+52.08",33388,"8378.59","0.00","125.00",800,"1.2","105.00","300.00"
29,2025/11/11,10:24:27,403,30,1,"0.086",1,836,"242.42","194.68","1.2","-24.70","+109.51",33388,"8701.28","0.00","125.00",800,"1.2","105.00","300.00"
30,2025/11/11,10:24:30,408,31,5,"0.086",6,1000,"84.83","85.83","1.0","+22.36","-14.69",33388,"9022.15","0.00","125.00",800,"1.2","105.00","300.00"
31,2025/11/11,10:24:32,418,32,7,"0.086",6,957,"87.17","80.49","1.0","+95.82","-45.40",33388,"9389.56","0.00","125.00",800,"1.2","105.00","300.00"
32,2025/11/11,10:24:35,425,33,7,"0.086",6,994,"51.45","48.11","1.0","+29.04","+36.72",33388,"9745.84","0.00","125.00",800,"1.2","105.00","300.00"
33,2025/11/11,10:24:37,428,34,2,"0.086",6,996,"61.13","49.11","1.2","+22.70","-83.47",33388,"9743.94","0.00","125.00",800,"1.2","105.00","300.00"
34,2025/11/11,10:24:40,437,35,4,"0.086",6,889,"43.10","37.42","1.1","+51.75","-69.11",33388,"10141.11","0.00","125.00",800,"1.2","105.00","300.00"
35,2025/11/11,10:24:42,446,36,6,"0.086",4,388,"39.43","28.41","1.3","+55.42","+210.34",33388,"10800.91","0.00","125.00",800,"1.2","105.00","300.00"
36,2025/11/11,10:24:45,454,37,7,"0.086",6,996,"89.17","85.83","1.0","+40.73","+256.08",33388,"11189.34","0.00","125.00",800,"1.2","105.00","300.00"
37,2025/11/11,10:24:47,461,38,7,"0.086",6,970,"94.85","73.15","1.2","+43.40","-44.73",33388,"11189.11","0.00","125.00",800,"1.2","105.00","300.00"
38,2025/11/11,10:24:50,468,39,7,"0.086",6,999,"78.16","78.49","1.0","+13.35","+37.06",33388,"11572.52","0.00","125.00",800,"1.2","105.00","300.00"
39,2025/11/11,10:24:52,475,40,7,"0.086",6,997,"61.13","74.82","1.2","+42.40","+52.41",33388,"11894.03","0.00","125.00",800,"1.2","105.00","300.00"
40,2025/11/11,10:24:55,483,41,8,"0.086",6,997,"103.86","83.83","1.2","+21.03","+96.15",33388,"12251.24","0.00","125.00",800,"1.2","105.00","300.00"
41,2025/11/11,10:24:57,485,42,2,"0.086",6,999,"103.86","93.51","1.1","+21.70","+20.36",33388,"12252.83","0.00","125.00",800,"1.2","105.00","300.00"
42,2025/11/11,10:25:00,497,43,7,"0.104",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"12738.11","0.00","125.00",800,"1.2","105.00","300.00"
43,2025/11/11,10:25:02,501,44,4,"0.086",6,996,"61.13","67.47","1.1","+48.07","+43.40",33388,"12966.44","0.00","125.00",800,"1.2","105.00","300.00"
44,2025/11/11,10:25:05,505,45,1,"0.086",1,980,"128.57","111.21","1.1","+25.70","+190.97",33388,"13298.76","0.00","125.00",800,"1.2","105.00","300.00"
45,2025/11/11,10:25:07,509,46,4,"0.085",1,996,"137.25","130.24","1.0","+63.77","+149.91",33388,"13660.45","0.00","125.00",800,"1.2","105.00","300.00"
46,2025/11/11,10:25:10,511,47,2,"0.085",6,904,"101.53","80.16","1.2","+54.42","-94.15",33388,"13643.60","0.00","125.00",800,"1.2","105.00","300.00"
47,2025/11/11,10:25:12,518,48,2,"0.086",1,1000,"109.54","118.56","1.0","+2.33","+27.04",33388,"14066.46","0.00","125.00",800,"1.2","105.00","300.00"
48,2025/11/11,10:25:15,525,49,7,"0.087",6,997,"78.82","101.19","1.2","+59.43","+200.66",33388,"14726.49","0.00","125.00",800,"1.2","105.00","300.00"
49,2025/11/11,10:25:17,527,50,1,"0.086",1,982,"94.18","105.20","1.1","+62.76","+119.52",33388,"14725.79","0.00","125.00",800,"1.2","105.00","300.00"
50,2025/11/11,10:25:20,535,51,8,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"15167.75","0.00","125.00",800,"1.2","105.00","300.00"
51,2025/11/11,10:25:22,541,52,6,"0.087",6,938,"79.83","66.47","1.2","+81.46","+87.81",33388,"15489.83","0.00","125.00",800,"1.2","105.00","300.00"
52,2025/11/11,10:25:25,544,53,2,"0.086",6,999,"80.83","75.15","1.0","+73.11","-59.43",33388,"15485.86","0.00","125.00",800,"1.2","105.00","300.00"
53,2025/11/11,10:25:27,555,54,6,"0.086",6,965,"92.85","94.85","1.0","+115.52","+166.27",33388,"16172.41","0.00","125.00",800,"1.2","105.00","300.00"
54,2025/11/11,10:25:30,561,55,5,"0.102",8,998,"88.84","110.54","1.2","+102.83","-85.80",33388,"16180.50","0.00","125.00",800,"1.2","105.00","300.00"
55,2025/11/11,10:25:32,570,56,7,"0.086",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"16647.87","0.00","125.00",800,"1.2","105.00","300.00"
56,2025/11/11,10:25:35,576,57,6,"0.086",6,998,"79.83","66.14","1.2","+93.82","-58.09",33388,"16851.33","0.00","125.00",800,"1.2","105.00","300.00"
57,2025/11/11,10:25:37,584,58,7,"0.104",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"17250.74","0.00","125.00",800,"1.2","105.00","300.00"
58,2025/11/11,10:25:40,591,59,7,"0.085",2,0,"-20.00","-20.00","1.0","+0.00","+0.00",0,"17555.65","0.00","125.00",800,"1.2","105.00","300.00"
59,2025/11/11,10:25:42,594,60,3,"0.086",1,989,"131.58","143.60","1.0","+64.77","+150.57",33388,"17849.77","0.00","125.00",800,"1.2","105.00","300.00"
60,2025/11/11,10:25:45,595,61,1,"0.094",3,997,"133.91","122.90","1.0","+65.10","-58.76",33388,"17838.93","0.00","125.00",800,"1.2","105.00","300.00"
61,2025/11/11,10:25:47,608,62,6,"0.086",4,325,"32.75","50.44","1.5","+83.80","+205.33",33388,"18614.45","0.00","125.00",800,"1.2","105.00","300.00"
62,2025/11/11,10:25:50,612,63,3,"0.101",8,947,"122.56","139.59","1.1","+103.83","+38.39",33388,"18632.79","0.00","125.00",800,"1.2","105.00","300.00"
63,2025/11/11,10:25:52,620,64,4,"0.101",1,994,"90.51","115.22","1.2","+59.43","+72.11",33388,"19002.71","0.00","125.00",800,"1.2","105.00","300.00"
64,2025/11/11,10:25:55,623,65,3,"0.087",1,901,"114.21","124.23","1.0","+34.05","+183.96",33388,"19369.93","0.00","125.00",800,"1.2","105.00","300.00"
65,2025/11/11,10:25:57,625,66,2,"0.086",1,807,"166.97","144.26","1.1","+17.02","-110.18",33388,"19341.68","0.00","125.00",800,"1.2","105.00","300.00"
66,2025/11/11,10:26:00,632,67,7,"0.087",5,992,"58.12","77.82","1.3","+82.80","+158.59",33388,"20106.48","0.00","125.00",800,"1.2","105.00","300.00"
67,2025/11/11,10:26:02,636,68,4,"0.101",6,994,"73.48","89.84","1.2","+63.43","-48.07",33388,"20094.77","0.00","125.00",800,"1.2","105.00","300.00"
68,2025/11/11,10:26:05,647,69,8,"0.086",6,1000,"73.15","71.81","1.0","+34.05","+177.29",33388,"20756.80","0.00","125.00",800,"1.2","105.00","300.00"
